image_id,y_true,class_name,y_pred,confidence
ESP_035814_1550_RED-0065,0,other,1,0.8423151850760335
ESP_035814_1550_RED-0174,1,crater,0,0.7487566975795061
ESP_020421_1810_RED-0032,0,other,3,0.8963445456848835
ESP_027564_1655_RED-0196,1,crater,0,0.6703821249928166
ESP_013161_1715_RED-0148,0,other,5,0.6903587011477232
ESP_013161_1715_RED-0136,0,other,4,0.42232463106054663
ESP_037610_1845_RED-0052,0,other,1,0.6838808494476633
ESP_018720_2655_RED-0142,0,other,2,0.9341132651616243
PSP_008027_2070_RED-0246,0,other,1,0.7336019491483521
PSP_008965_1510_RED-0157,1,crater,0,0.9567342633565111
PSP_008965_1510_RED-0616,0,other,1,0.8266206422072121
PSP_008965_1510_RED-0364,1,crater,0,0.6075870422533307
