class_id,class_name,precision,recall,f1,support
0,Arm cover,1.0,0.75,0.8571428571428571,4
1,Other rover part,0.5833333333333334,0.7,0.6363636363636364,10
2,Artifact,0.8707482993197279,0.9696969696969697,0.9175627240143369,132
3,Nearby surface,0.9290322580645162,0.7700534759358288,0.8421052631578947,187
4,Close-up rock,0.6626506024096386,0.6547619047619048,0.6586826347305389,84
5,DRT,1.0,0.5,0.6666666666666666,6
6,DRT spot,0.09523809523809523,0.2857142857142857,0.14285714285714285,7
7,Distant landscape,0.6744186046511628,0.8529411764705882,0.7532467532467533,34
8,Drill hole,0.8461538461538461,0.9166666666666666,0.88,12
9,Night sky,0.3333333333333333,0.25,0.2857142857142857,4
10,Float,0.16666666666666666,1.0,0.2857142857142857,1
11,Layers,0.5714285714285714,0.7058823529411765,0.631578947368421,17
12,Light-toned veins,0.2,0.07407407407407407,0.10810810810810811,27
13,Mastcam cal target,0.9655172413793104,0.9655172413793104,0.9655172413793104,29
14,Sand,0.5789473684210527,0.6875,0.6285714285714286,16
15,Sun,0.8235294117647058,0.7368421052631579,0.7777777777777778,19
16,Wheel,0.75,0.6,0.6666666666666666,5
17,Wheel joint,0.6,0.6,0.6,5
18,Wheel tracks,0.0,0.0,0.0,1
