filename,class_id,split,source_id,landmark_id,is_original,aug_token,class_name,filepath,image_id
ESP_013049_0950_RED-0067.jpg,7,train,ESP_013049_0950,ESP_013049_0950_RED-0067,True,,spider,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_013049_0950_RED-0067.jpg,ESP_013049_0950_RED-0067
ESP_019697_2020_RED-0024.jpg,1,train,ESP_019697_2020,ESP_019697_2020_RED-0024,True,,crater,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_019697_2020_RED-0024.jpg,ESP_019697_2020_RED-0024
ESP_015962_1695_RED-0016.jpg,1,train,ESP_015962_1695,ESP_015962_1695_RED-0016,True,,crater,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_015962_1695_RED-0016.jpg,ESP_015962_1695_RED-0016
ESP_013049_0950_RED-0118.jpg,7,train,ESP_013049_0950,ESP_013049_0950_RED-0118,True,,spider,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_013049_0950_RED-0118.jpg,ESP_013049_0950_RED-0118
ESP_015962_1695_RED-0017.jpg,1,train,ESP_015962_1695,ESP_015962_1695_RED-0017,True,,crater,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_015962_1695_RED-0017.jpg,ESP_015962_1695_RED-0017
ESP_017395_1700_RED-0098.jpg,5,train,ESP_017395_1700,ESP_017395_1700_RED-0098,True,,impact ejecta,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_017395_1700_RED-0098.jpg,ESP_017395_1700_RED-0098
ESP_011348_0950_RED-0005.jpg,7,train,ESP_011348_0950,ESP_011348_0950_RED-0005,True,,spider,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_011348_0950_RED-0005.jpg,ESP_011348_0950_RED-0005
ESP_046834_1525_RED-0191.jpg,5,train,ESP_046834_1525,ESP_046834_1525_RED-0191,True,,impact ejecta,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_046834_1525_RED-0191.jpg,ESP_046834_1525_RED-0191
ESP_034590_1795_RED-0125.jpg,1,train,ESP_034590_1795,ESP_034590_1795_RED-0125,True,,crater,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_034590_1795_RED-0125.jpg,ESP_034590_1795_RED-0125
ESP_013049_0950_RED-0188.jpg,7,train,ESP_013049_0950,ESP_013049_0950_RED-0188,True,,spider,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_013049_0950_RED-0188.jpg,ESP_013049_0950_RED-0188
ESP_013049_0950_RED-0086.jpg,7,train,ESP_013049_0950,ESP_013049_0950_RED-0086,True,,spider,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_013049_0950_RED-0086.jpg,ESP_013049_0950_RED-0086
ESP_034590_1795_RED-0114.jpg,5,train,ESP_034590_1795,ESP_034590_1795_RED-0114,True,,impact ejecta,data/hirise/extracted/hirise-map-proj-v3_2/map-proj-v3_2/ESP_034590_1795_RED-0114.jpg,ESP_034590_1795_RED-0114
